AFG,Asia,Afghanistan,15/08/2020,37431,7,1363,0,961.536,35.013,38928341,54.422,
ALB,Europe,Albania,15/08/2020,7117,146,219,6,2473.07,76.1,2877800,104.871,
DZA,Africa,Algeria,15/08/2020,37664,477,1351,10,858.908,30.809,43851043,17.348,
AND,Europe,Andorra,15/08/2020,989,8,53,0,12800.104,685.951,77265,163.755,
AGO,Africa,Angola,15/08/2020,1815,53,83,3,55.224,2.525,32866268,23.89,
AIA,North America,Anguilla,15/08/2020,3,0,0,0,199.973,0,15002,,
ATG,North America,Antigua and Barbuda,15/08/2020,93,0,3,0,949.677,30.635,97928,231.845,
ARG,South America,Argentina,15/08/2020,276072,7511,5428,182,6108.358,120.1,45195777,16.177,
ARM,Asia,Armenia,15/08/2020,41299,276,814,5,13937.138,274.7,2963234,102.931,
ABW,North America,Aruba,15/08/2020,973,79,4,0,9113.388,37.465,106766,584.8,
AUS,Oceania,Australia,15/08/2020,22743,385,375,14,891.887,14.706,25499881,3.202,
AUT,Europe,Austria,15/08/2020,22951,221,725,0,2548.299,80.498,9006400,106.749,
AZE,Asia,Azerbaijan,15/08/2020,34018,103,504,4,3355.105,49.708,10139175,119.309,
BHS,North America,Bahamas,15/08/2020,1119,30,17,2,2845.533,43.23,393248,39.497,
BHR,Asia,Bahrain,15/08/2020,46052,326,168,1,27064.21,98.732,1701583,1935.907,
BGD,Asia,Bangladesh,15/08/2020,271881,2766,3591,34,1650.871,21.805,164689383,1265.036,
BRB,North America,Barbados,15/08/2020,148,4,7,0,515.014,24.359,287371,664.463,
BLR,Europe,Belarus,15/08/2020,69308,105,603,4,7334.707,63.814,9449321,46.858,
BEL,Europe,Belgium,15/08/2020,77020,0,9924,2,6645.604,856.284,11589616,375.564,
BLZ,North America,Belize,15/08/2020,388,32,3,1,975.804,7.545,397621,16.426,
BEN,Africa,Benin,15/08/2020,2001,0,38,0,165.055,3.134,12123198,99.11,
BMU,North America,Bermuda,15/08/2020,159,0,9,0,2553.273,144.525,62273,1308.82,
BTN,Asia,Bhutan,15/08/2020,133,2,0,0,172.366,0,771612,21.188,
BOL,South America,Bolivia,15/08/2020,96459,1388,3884,57,8263.408,332.733,11673029,10.202,
BES,North America,Bonaire Sint Eustatius and Saba,15/08/2020,13,0,0,0,495.786,0,26221,,
BIH,Europe,Bosnia and Herzegovina,15/08/2020,15534,350,464,6,4734.799,141.428,3280815,68.496,
BWA,Africa,Botswana,15/08/2020,1214,0,3,0,516.239,1.276,2351625,4.044,
BRA,South America,Brazil,15/08/2020,3275520,50644,106523,1060,15409.904,501.145,212559409,25.04,
VGB,North America,British Virgin Islands,15/08/2020,9,0,1,0,297.649,33.072,30237,207.973,
BRN,Asia,Brunei,15/08/2020,142,0,3,0,324.584,6.857,437483,81.347,
BGR,Europe,Bulgaria,15/08/2020,14243,174,492,8,2049.811,70.807,6948445,65.18,
BFA,Africa,Burkina Faso,15/08/2020,1240,2,54,0,59.321,2.583,20903278,70.151,
BDI,Africa,Burundi,15/08/2020,412,2,1,0,34.649,0.084,11890781,423.062,
KHM,Asia,Cambodia,15/08/2020,273,0,0,0,16.329,0,16718971,90.672,
CMR,Africa,Cameroon,15/08/2020,18469,161,401,0,695.739,15.106,26545864,50.885,
CAN,North America,Canada,15/08/2020,121652,418,9020,5,3223.239,238.99,37742157,4.037,
CPV,Africa,Cape Verde,15/08/2020,3136,63,33,0,5640.41,59.354,555988,135.58,
CYM,North America,Cayman Islands,15/08/2020,203,0,1,0,3088.862,15.216,65720,256.496,
