ABW,North America,Aruba,1/10/2020,3963,29,27,1,37118.558,252.889,106766
AFG,Asia,Afghanistan,1/10/2020,39268,14,1458,0,1008.725,37.453,38928341
AGO,Africa,Angola,1/10/2020,5013,108,182,3,152.527,5.538,32866268
AIA,North America,Anguilla,1/10/2020,3,0,0,0,199.973,0,15002
ALB,Europe,Albania,1/10/2020,13649,131,387,3,4742.859,134.478,2877800
AND,Europe,Andorra,1/10/2020,2050,84,53,0,26532.065,685.951,77265
ARE,Asia,United Arab Emirates,1/10/2020,94190,1100,419,3,9523.376,42.364,9890400
ARG,South America,Argentina,1/10/2020,750988,14392,16937,418,16616.331,374.747,45195777
ARM,Asia,Armenia,1/10/2020,50359,458,959,1,16994.608,323.633,2963234
ATG,North America,Antigua and Barbuda,1/10/2020,101,0,3,0,1031.37,30.635,97928
AUS,Oceania,Australia,1/10/2020,27063,0,882,0,1061.299,34.588,25499881
AUT,Europe,Austria,1/10/2020,45753,1146,799,3,5080.054,88.715,9006400
AZE,Asia,Azerbaijan,1/10/2020,40229,110,591,1,3967.68,58.289,10139175
BDI,Africa,Burundi,1/10/2020,508,2,1,0,42.722,0.084,11890781
BEL,Europe,Belgium,1/10/2020,118358,1337,10016,15,10212.418,864.222,11589616
BEN,Africa,Benin,1/10/2020,2357,17,41,1,194.421,3.382,12123198
BES,North America,Bonaire Sint Eustatius and Saba,1/10/2020,106,0,1,0,4042.561,38.137,26221
BFA,Africa,Burkina Faso,1/10/2020,2056,24,58,0,98.358,2.775,20903278
BGD,Asia,Bangladesh,1/10/2020,363479,1436,5251,32,2207.058,31.884,164689383
BGR,Europe,Bulgaria,1/10/2020,20833,286,825,11,2998.225,118.732,6948445
BHR,Asia,Bahrain,1/10/2020,70864,442,252,6,41645.926,148.097,1701583
BHS,North America,Bahamas,1/10/2020,4123,220,96,5,10484.478,244.121,393248
BIH,Europe,Bosnia and Herzegovina,1/10/2020,27465,243,849,13,8371.396,258.777,3280815
BLR,Europe,Belarus,1/10/2020,78631,371,833,5,8321.339,88.154,9449321
BLZ,North America,Belize,1/10/2020,1992,49,27,1,5009.796,67.904,397621
BMU,North America,Bermuda,1/10/2020,181,0,9,0,2906.557,144.525,62273
BOL,South America,Bolivia,1/10/2020,135311,670,7965,34,11591.764,682.342,11673029
BRA,South America,Brazil,1/10/2020,4810935,33413,143952,1031,22633.366,677.232,212559409
BRB,North America,Barbados,1/10/2020,190,0,7,0,661.166,24.359,287371
BRN,Asia,Brunei,1/10/2020,146,0,3,0,333.727,6.857,437483
BTN,Asia,Bhutan,1/10/2020,282,1,0,0,365.469,0,771612
BWA,Africa,Botswana,1/10/2020,3172,0,16,0,1348.855,6.804,2351625
CAF,Africa,Central African Republic,1/10/2020,4829,4,62,0,999.842,12.837,4829764
CAN,North America,Canada,1/10/2020,158758,1797,9297,6,4206.384,246.329,37742157
CHE,Europe,Switzerland,1/10/2020,53162,411,1782,1,6142.617,205.902,8654618
CHL,South America,Chile,1/10/2020,462991,1691,12741,16,24219.813,666.502,19116209
CHN,Asia,China,1/10/2020,90528,0,4739,0,62.896,3.293,1439323774
CIV,Africa,Cote d'Ivoire,1/10/2020,19724,55,120,0,747.737,4.549,26378275
CMR,Africa,Cameroon,1/10/2020,20838,0,418,0,784.981,15.746,26545864
COD,Africa,Democratic Republic of Congo,1/10/2020,10659,29,272,1,119.013,3.037,89561404
COG,Africa,Congo,1/10/2020,5089,0,89,0,922.239,16.129,5518092
COL,South America,Colombia,1/10/2020,829679,5637,25998,170,16305.66,510.938,50882884
COM,Africa,Comoros,1/10/2020,479,0,7,0,550.831,8.05,869595
CPV,Africa,Cape Verde,1/10/2020,6024,124,60,1,10834.766,107.916,555988
CRI,North America,Costa Rica,1/10/2020,75760,1156,904,24,14872.066,177.46,5094114
CUB,North America,Cuba,1/10/2020,5597,66,122,0,494.146,10.771,11326616
CUW,North America,Curacao,1/10/2020,392,22,1,0,2388.787,6.094,164100
CYM,North America,Cayman Islands,1/10/2020,211,0,1,0,3210.59,15.216,65720
CYP,Europe,Cyprus,1/10/2020,1755,42,22,0,2003.656,25.117,875899
CZE,Europe,Czech Republic,1/10/2020,68919,1076,655,19,6435.626,61.164,10708982
DEU,Europe,Germany,1/10/2020,291722,2503,9500,12,3481.837,113.387,83783945
DJI,Africa,Djibouti,1/10/2020,5416,0,61,0,5481.77,61.741,988002
DMA,North America,Dominica,1/10/2020,31,7,0,0,430.609,0,71991
DNK,Europe,Denmark,1/10/2020,27998,534,650,0,4833.739,112.22,5792203
DOM,North America,Dominican Republic,1/10/2020,112209,309,2105,4,10343.842,194.047,10847904
DZA,Africa,Algeria,1/10/2020,51530,162,1734,8,1175.115,39.543,43851043
ECU,South America,Ecuador,1/10/2020,137047,1298,11355,43,7767.757,643.596,17643060
EGY,Africa,Egypt,1/10/2020,103198,119,5930,16,1008.439,57.947,102334403
ERI,Africa,Eritrea,1/10/2020,375,0,0,0,105.74,0,3546427
ESH,Africa,Western Sahara,1/10/2020,766,0,1,0,1282.373,1.674,597330
EST,Europe,Estonia,1/10/2020,3371,56,64,0,2541.199,48.246,1326539
ETH,Africa,Ethiopia,1/10/2020,75368,784,1198,7,655.582,10.421,114963583
FIN,Europe,Finland,1/10/2020,9992,100,344,1,1803.376,62.086,5540718
FJI,Oceania,Fiji,1/10/2020,32,0,2,0,35.697,2.231,896444
FLK,South America,Falkland Islands,1/10/2020,13,0,0,0,3732.415,0,3483
FRA,Europe,France,1/10/2020,563535,12845,31956,63,8633.441,489.571,65273512
FRO,Europe,Faeroe Islands,1/10/2020,467,4,0,0,9556.943,0,48865
GAB,Africa,Gabon,1/10/2020,8766,14,54,0,3938.487,24.262,2225728
GBR,Europe,United Kingdom,1/10/2020,453264,7108,42143,71,6676.84,620.791,67886004
GEO,Asia,Georgia,1/10/2020,6640,774,39,6,1664.505,9.776,3989175
GGY,Europe,Guernsey,1/10/2020,256,0,13,0,3817.932,193.879,67052
GHA,Africa,Ghana,1/10/2020,46656,174,301,0,1501.499,9.687,31072945
GIB,Europe,Gibraltar,1/10/2020,396,5,0,0,11753.881,0,33691
GIN,Africa,Guinea,1/10/2020,10652,18,66,0,811.099,5.026,13132792
GMB,Africa,Gambia,1/10/2020,3579,0,112,0,1480.967,46.345,2416664
